day,itinerary_ids,trips,stops,route_km,start_to_first_km,continuity_km,return_home_km,actual_day_km
1,11 12 73 14 72,6,84,60.04,20.48,15.62,25.6,121.74
2,33 34 71 74 75 76,6,49,63.38,16.1,22.6,40.83,142.91
3,60 40 41 37 36 35 77,7,47,58.38,9.61,40.99,31.25,140.23
4,64 51 58 59 70 38,6,51,61.05,4.4,46.44,19.58,131.47
5,56 55 61 39 67 69,7,73,60.69,12.5,26.69,24.35,124.23
6,52 65 66 57 68 54,6,64,52.71,6.82,25.74,12.01,97.27
7,62 2 4 5 53,7,94,57.37,1.66,28.31,15.07,102.41
8,63 3 49 48 83 84,7,58,56.3,2.17,20.38,22.53,101.39
9,1 6 20 47,5,76,51.2,6.08,32.81,16.48,106.56
10,46 82 21 85 19 28 29,7,53,55.29,16.21,34.12,24.91,130.54
11,7 24 25 27 18,5,65,57.41,12.41,20.92,28.42,119.16
12,8 30 22 26 17,7,79,59.68,16.31,27.41,27.75,131.15
13,50 43 31 23 80,7,73,49.23,10.26,15.62,24.91,100.01
14,44 45 32 81 79 16,6,64,56.98,13.98,25.58,27.84,124.38
15,42 9 10 78 13 15,8,82,61.56,12.06,28.9,32.13,134.66
